Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	2f010db9-fb70-4cb7-a79e-e57030255ca5 	PUT	undefined	/players
Wed Apr 13 2022 10:56:44 GMT+0300 (East Africa Time) 	997a028e-5561-407c-abbc-5afbdf952c45 	PUT	undefined	/players
Wed Apr 13 2022 11:09:22 GMT+0300 (East Africa Time) 	a4bd1fa9-f46b-4276-9250-a20389c822db 	PUT	undefined	/players
Wed Apr 13 2022 11:09:22 GMT+0300 (East Africa Time) 	3719961b-33fa-4627-9a8d-edf4e03ab05a 	DELETE	undefined	/players
Wed Apr 13 2022 11:09:22 GMT+0300 (East Africa Time) 	8bcbe391-517c-48c5-8ee6-64e5877b257a 	DELETE	undefined	/players
Wed Apr 13 2022 11:09:22 GMT+0300 (East Africa Time) 	23f41a54-3355-4ed8-b0bd-6de718b41437 	GET	undefined	/players/1
Wed Apr 13 2022 14:42:51 GMT+0300 (East Africa Time) 	6acf2f9c-e8c6-4e48-bf27-e53d3e2ff698 	POST	undefined	/players
Wed Apr 13 2022 14:42:51 GMT+0300 (East Africa Time) 	d1368595-3d5b-4d2e-9a60-966b3f77a68d 	GET	undefined	/players/
Wed Apr 13 2022 14:42:51 GMT+0300 (East Africa Time) 	c0deba71-e36d-4a98-be36-d9a80758ee5a 	PUT	undefined	/players
Wed Apr 13 2022 14:42:51 GMT+0300 (East Africa Time) 	3353af85-bf9f-46e9-9b9e-258990d9e1c5 	DELETE	undefined	/players
Wed Apr 13 2022 14:42:51 GMT+0300 (East Africa Time) 	4a78cc28-b658-4265-bef9-9b34922f1c45 	GET	undefined	/players/1
Wed Apr 13 2022 15:32:31 GMT+0300 (East Africa Time) 	58c167bd-5ba0-4071-8dda-ec45ed8b4c64 	POST	undefined	/register
Wed Apr 13 2022 15:32:31 GMT+0300 (East Africa Time) 	9f266053-4bf4-4fec-a62e-8b7a51763eb1 	GET	undefined	/css/style.css
Wed Apr 13 2022 15:32:31 GMT+0300 (East Africa Time) 	7456a25e-7def-4e40-baac-30d48de86aee 	POST	undefined	/players
Wed Apr 13 2022 15:32:31 GMT+0300 (East Africa Time) 	0f5ac25b-3933-4054-89d1-0ce314ed6895 	POST	undefined	/register
Wed Apr 13 2022 15:32:31 GMT+0300 (East Africa Time) 	b2b3b38f-0cae-4645-94ee-8477690101f6 	GET	undefined	/css/style.css
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	bc550672-873e-419e-83dc-986b3e9aedd7 	POST	undefined	/root
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	993bb58f-a2e6-4a7b-aaf0-82f492dd37fe 	GET	undefined	/css/style.css
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	2c87c6b7-b766-4b27-b721-178965a39ba8 	POST	undefined	/
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	fa6abdae-1f63-4041-a56f-9ad1eeea4786 	GET	undefined	/css/style.css
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	93f6d166-c6b0-4824-acd1-87dfa43519ba 	POST	undefined	/player
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	34bfad34-3f5a-482f-a451-83f35797e5c5 	GET	undefined	/css/style.css
Wed Apr 13 2022 15:58:42 GMT+0300 (East Africa Time) 	744b5015-51e7-4cb1-b568-a2fff3764624 	POST	undefined	/players
Wed Apr 13 2022 16:04:36 GMT+0300 (East Africa Time) 	1eb2472a-b24b-4722-a9a4-6b5acd1a4769 	POST	undefined	/register
Wed Apr 13 2022 16:04:36 GMT+0300 (East Africa Time) 	f9146b3b-93be-4b57-a7ea-b01b5bb05604 	GET	undefined	/css/style.css
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	b96aff77-4b16-41dc-86ea-7b18b0691b48 	POST	undefined	/register
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	edf0c758-bb4e-4c3f-bf33-ab40b9446943 	GET	undefined	/css/style.css
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	99b52e5a-9c84-4083-b801-4a564aea7331 	POST	undefined	/register
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	9decfbe3-3a25-4fa1-955e-89120c57be75 	GET	undefined	/css/style.css
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	d2158d1a-1fb7-4a98-af9e-071ee09e5efc 	POST	undefined	/register
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	26ec0082-ead0-424e-929c-7223ee1f8f6a 	GET	undefined	/css/style.css
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	72667a46-f5e6-4fcb-a4f0-a26d66c32fe5 	POST	undefined	/register
Wed Apr 13 2022 16:09:39 GMT+0300 (East Africa Time) 	095657c9-4649-428f-9fe4-3a6425022112 	GET	undefined	/css/style.css
Sun Jul 05 2020 14:24:46 GMT+0300 (East Africa Time) 	553df176-de63-4f14-9971-bc5b0f39fe1f 	POST	undefined	/register
Sun Jul 05 2020 14:24:46 GMT+0300 (East Africa Time) 	f1cecfb4-874b-4dd2-904c-d0d6eae208e0 	GET	undefined	/css/style.css
Wed Apr 13 2022 14:38:10 GMT+0300 (East Africa Time) 	50e0524b-2458-4d82-8b8b-b039eb891632 	POST	undefined	/register
Wed Apr 13 2022 14:38:14 GMT+0300 (East Africa Time) 	a3323dd5-c3ac-48d1-a667-4b3a5989ec21 	POST	undefined	/register
Wed Apr 13 2022 14:38:14 GMT+0300 (East Africa Time) 	07e1d23d-18db-4241-a2de-3a81a2a9ce43 	POST	undefined	/register
Wed Apr 13 2022 15:07:57 GMT+0300 (East Africa Time) 	e30cc90e-9ce4-4d79-8854-32ab97b3640f 	POST	undefined	/auth
Wed Apr 13 2022 15:07:57 GMT+0300 (East Africa Time) 	10bd9257-f31a-45fe-bf0b-1c20217c7747 	POST	undefined	/auth
Thu Apr 14 2022 13:53:22 GMT+0300 (East Africa Time) 	d496b001-d889-4749-90b8-775ebe076f85 	POST	undefined	/auth
Thu Apr 14 2022 13:54:00 GMT+0300 (East Africa Time) 	b1030b35-c032-41d1-b46a-934dfb23750b 	GET	undefined	/players
Thu Apr 14 2022 14:01:29 GMT+0300 (East Africa Time) 	522ac78b-fdb2-4edc-9b92-cd3c84343a55 	POST	undefined	/auth
Thu Apr 14 2022 14:02:58 GMT+0300 (East Africa Time) 	44f8b3fc-5db7-444d-98cf-a54bee9d923b 	GET	undefined	/players
Thu Apr 14 2022 14:02:58 GMT+0300 (East Africa Time) 	96edddae-5935-4793-8798-531004b7c656 	POST	undefined	/auth
Thu Apr 14 2022 14:03:44 GMT+0300 (East Africa Time) 	cb3f0474-1a98-4551-b80b-86401ac3658b 	GET	undefined	/players
Thu Apr 14 2022 14:03:44 GMT+0300 (East Africa Time) 	8866fc1e-03f3-4afe-8097-35169b7beef1 	POST	undefined	/auth
Thu Apr 14 2022 14:04:21 GMT+0300 (East Africa Time) 	8541fd23-b990-4134-8727-01ed4d7ac442 	GET	undefined	/players
Thu Apr 14 2022 14:04:21 GMT+0300 (East Africa Time) 	e8f3ba4b-7bae-474d-9e01-34e252654e4a 	POST	undefined	/auth
Thu Apr 14 2022 14:05:10 GMT+0300 (East Africa Time) 	65bef794-4d33-48a9-86aa-18cfec127604 	GET	undefined	/players
Thu Apr 14 2022 14:05:10 GMT+0300 (East Africa Time) 	99e673bf-f958-4171-8f5e-45371daaee4a 	GET	undefined	/players
Thu Apr 14 2022 14:05:10 GMT+0300 (East Africa Time) 	03ccf00d-92d6-4379-81a2-51ff24b62b37 	POST	undefined	/auth
Thu Apr 14 2022 14:05:58 GMT+0300 (East Africa Time) 	e1a91dbb-3367-4ad3-8796-14c39818bf16 	GET	undefined	/players
Thu Apr 14 2022 14:06:51 GMT+0300 (East Africa Time) 	3d240caf-1c78-4890-9a3a-083c6d9ad012 	POST	undefined	/auth
Thu Apr 14 2022 14:07:31 GMT+0300 (East Africa Time) 	1afdd13c-d637-4d94-bbc7-c0dbd44b2bde 	GET	undefined	/players
Thu Apr 14 2022 14:08:34 GMT+0300 (East Africa Time) 	6a59cb1d-1ab4-4b96-aa01-6ef2ab54f26c 	POST	undefined	/players
Thu Apr 14 2022 14:50:03 GMT+0300 (East Africa Time) 	a6c72864-ed2b-4653-8e60-34c2a0ec64d3 	POST	undefined	/auth
Thu Apr 14 2022 14:51:08 GMT+0300 (East Africa Time) 	de5503a5-8ee4-448c-a7ba-b4ea82131ea3 	GET	undefined	/refresh
Thu Apr 14 2022 14:51:08 GMT+0300 (East Africa Time) 	6c20dc0e-eddd-4294-806d-5df3cd5745e8 	GET	undefined	/refresh
Thu Apr 14 2022 15:00:22 GMT+0300 (East Africa Time) 	62fb45b1-7e3a-4166-a496-40eb984f35a3 	GET	undefined	/refresh
